Audio,Label
"[-0.03759589 -0.08766122 -0.09222031 ...  0.14798822  0.20491657
  0.2869868 ]",dog_bark
"[-6.5877213e-12 -3.1704857e-11 -3.4417275e-11 ... -2.2536816e-01
 -2.1526209e-01 -2.2343485e-01]",drilling
"[ 0.12812449  0.00772619 -0.2758838  ...  0.3019527   0.17583176
 -0.10618849]",drilling
"[-0.00251794 -0.10944875 -0.12761687 ...  0.29523748  0.17346461
  0.2846763 ]",drilling
"[-0.23721279 -0.3252567  -0.00310288 ...  0.2508274   0.34050974
  0.28401914]",drilling
"[ 0.15383087  0.12806693  0.03407774 ... -0.08702885 -0.21055779
 -0.26587236]",drilling
"[ 5.2922258e-09  1.6004181e-08  4.7401070e-09 ...  2.7191982e-02
  1.4713607e-02 -4.8893259e-04]",drilling
"[-1.0245022e-08  1.5845179e-08  2.0875628e-08 ... -2.2062978e-01
 -2.2793958e-01  3.9053343e-03]",drilling
"[-0.06240699 -0.08447988  0.08501932 ... -0.2166778  -0.19034638
 -0.07801569]",drilling
"[ 0.03110898  0.13373412  0.1415616  ...  0.01931697 -0.15464368
 -0.31191227]",drilling
"[ 0.3560736   0.5086121  -0.14661768 ... -0.06021116  0.01916632
  0.09211677]",drilling
"[ 0.07483655  0.05057519 -0.11585651 ... -0.2639905  -0.09148473
  0.31689146]",drilling
"[ 0.02460671  0.14390585  0.07167882 ... -0.14416681 -0.12938552
 -0.11187138]",drilling
"[ 0.2118399   0.18944472 -0.0604811  ...  0.17232843 -0.15046997
 -0.07220295]",drilling
"[-0.11596054 -0.31868708 -0.38793012 ... -0.04733545 -0.02656614
 -0.27159965]",drilling
"[ 0.07116783  0.08256514 -0.08635143 ...  0.07772069  0.02216177
 -0.08669823]",drilling
"[-0.22345519 -0.27786383 -0.01109567 ...  0.4972933   0.45174167
 -0.22977833]",drilling
"[-0.13593888 -0.21582593 -0.02362122 ... -0.1577934  -0.14595576
 -0.10474613]",drilling
"[-0.40654337 -0.4694202   0.09955709 ... -0.39687556 -0.29505533
  0.20263505]",drilling
"[ 1.1389096e-09 -1.0937027e-10 -5.9858368e-10 ...  3.2267758e-01
  3.2050934e-01  2.6374546e-01]",drilling
"[ 1.3550286e-08  1.7205110e-08 -3.2215746e-09 ...  6.2140536e-02
 -5.2823827e-02 -8.1600100e-02]",drilling
"[ 0.15102527  0.18010749 -0.13477811 ...  0.03047437  0.03486229
  0.00755235]",drilling
"[ 0.00470594 -0.00431742  0.01105181 ... -0.00426373  0.13586359
  0.2150935 ]",drilling
"[ 0.12135767  0.11718453 -0.11984297 ... -0.33643687 -0.09491867
  0.02388769]",drilling
"[-0.07865567 -0.19893727 -0.20748644 ...  0.06525515  0.06827281
  0.06300844]",engine_idling
"[ 0.00063244  0.00788235 -0.00511964 ... -0.02561511 -0.02070993
  0.00234942]",engine_idling
[0.02774564 0.0402593  0.02918336 ... 0.01291209 0.02242327 0.09074582],engine_idling
"[ 0.00204127 -0.00859894 -0.01553397 ...  0.04208402  0.03759602
  0.04905722]",engine_idling
"[ 0.03936507  0.07100611  0.06353483 ... -0.0033998   0.01371251
  0.04880508]",engine_idling
[0.03487991 0.04618144 0.02437285 ... 0.0268205  0.02783639 0.02376391],engine_idling
"[ 0.08380777  0.1233132   0.10538376 ... -0.06732024 -0.06495493
 -0.06302376]",engine_idling
"[ 0.03033787  0.05749174  0.06375365 ... -0.01419113 -0.04254055
 -0.03939804]",engine_idling
"[ 0.00012993 -0.00013585  0.00014801 ... -0.04963255 -0.04768949
 -0.05237869]",gun_shot
"[ 1.95575680e-08  1.59046021e-08  3.99078814e-08 ...  6.19763061e-02
 -1.99413113e-02  1.12489395e-01]",engine_idling
"[ 0.23267472  0.3256497   0.29737276 ...  0.02988039 -0.0590867
 -0.02164588]",engine_idling
"[-0.0145127   0.12506217  0.09725316 ...  0.37846214  0.3393389
  0.43971458]",engine_idling
"[ 0.00046608  0.00112632 -0.0040957  ...  0.0024584   0.00189718
  0.00418912]",dog_bark
"[ 0.00084133  0.00102328  0.00081156 ... -0.3132918  -0.28298187
 -0.26143575]",dog_bark
"[-0.00383819 -0.00606698 -0.00497014 ... -0.00028214 -0.00033011
 -0.0009991 ]",dog_bark
"[-0.28692177 -0.46662933 -0.35670578 ... -0.00465801 -0.00336966
 -0.00210211]",dog_bark
"[-0.0005982  -0.00160691 -0.00140953 ... -0.00041755 -0.00062283
 -0.0003794 ]",dog_bark
"[-0.04432328 -0.0719937  -0.06029384 ... -0.01708216 -0.0214881
 -0.03540606]",dog_bark
"[ 0.0461048   0.01114676 -0.10465442 ... -0.1394633  -0.11790767
 -0.10780263]",dog_bark
"[-0.04752816 -0.07133923 -0.05360948 ... -0.01798073 -0.06376399
 -0.13878956]",dog_bark
"[ 0.00944006  0.02131029  0.02506628 ... -0.00538624 -0.0147545
 -0.02786013]",dog_bark
"[ 0.0084298   0.01833321  0.01322981 ... -0.01405104 -0.08793386
 -0.15780225]",dog_bark
[0.05410505 0.12863539 0.13650219 ... 0.00186053 0.0008158  0.00131521],dog_bark
"[-0.06593279 -0.12709628 -0.11857918 ... -0.01518449 -0.02709417
 -0.04307847]",dog_bark
"[-0.02793166 -0.04720864 -0.03640709 ... -0.03988296 -0.02906761
 -0.01194806]",dog_bark
"[-0.00045014 -0.00067196 -0.00034591 ... -0.14369641 -0.10565795
 -0.05569809]",car_horn
"[ 3.7163208e-04 -1.3007123e-02 -2.1864355e-02 ... -5.3583151e-01
 -5.5949211e-01 -5.3985757e-01]",car_horn
"[ 0.09925877  0.18324696  0.24650282 ... -0.01839157 -0.00629772
 -0.00568467]",car_horn
[0.00974569 0.01757153 0.01846248 ... 0.01611374 0.01665495 0.01658591],dog_bark
"[-0.25629765 -0.5812951  -0.545773   ...  0.44121158  0.29119214
  0.502617  ]",siren
"[-0.20933397 -0.40561178 -0.45199752 ... -0.0299952  -0.09134751
 -0.05089584]",siren
"[ 0.02705     0.029566   -0.01873123 ... -0.06407916 -0.03948208
 -0.075413  ]",children_playing
"[ 0.04629987  0.09409879  0.05849499 ... -0.30280393 -0.257449
 -0.19108616]",children_playing
