mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mel_spectrogram,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,spectral_flatness,rms,zero_crossing_rate,tempo,tempogram,Label
-104.22503,71.75961,-52.788013,5.094241,-19.0988,3.3820982,-10.370151,6.25217,2.425448,7.274114,6.731372,2.9296386,-0.72301203,-3.309779,-4.976214,1.6043499,0.6966796,4.219442,-1.9327521,2.2308705,-5.700078,2.17828,-1.1561033,4.919138,-1.6176579,2.323185,-2.6516821,2.8372831,-4.924501,-0.11700607,2.1192076,2018.4447601169022,1566.2429983911234,20.46710418565274,3641.8650793650795,0.054743744,0.07829101,0.1736731150793651,[133.92857143],0.195518053024242,dog_bark
-38.1582,26.686834,-83.06181,5.4194555,-13.915364,-3.4947658,-8.251671,-1.7590172,-7.327608,-14.084072,-15.650191,-2.2097776,-10.473546,3.5062063,3.0890727,5.235125,3.5503488,-6.042381,7.5879903,2.0589278,-0.97804075,-0.72489095,-5.1523457,2.174027,-1.7156665,4.695582,-1.5521592,4.310464,-1.3586485,2.846141,5.156492,2409.2423768584904,1509.9967389707874,22.61985055741729,3836.309523809524,0.05055877,0.1610559,0.25548735119047616,[170.45454545],0.13966680659474529,drilling
19.031872,41.547714,-86.99296,4.7430983,-18.200356,-7.594564,-16.47222,-8.382361,-13.069147,-14.259716,-18.740202,-8.851071,-15.393858,0.639009,0.97799325,4.443547,5.198955,-1.8978723,9.167013,3.6226785,0.30580634,3.052583,-2.4731824,3.6655247,-0.41812164,5.789769,-0.99662614,6.5020895,-0.35254934,3.7161658,7.0507445,2229.120893928607,1439.7429563706437,22.94747522043841,3627.1081349206347,0.0390887,0.20406793,0.2361111111111111,[125.],0.20798977823440265,drilling
25.954493,51.8776,-85.09641,1.1063547,-21.003315,-8.951189,-15.778296,-10.236658,-17.879,-15.252333,-18.991812,-7.94558,-17.10347,-1.5074983,-0.76250666,0.5447815,1.6581775,-1.5460378,7.0406156,0.8536226,-1.1306934,2.778459,-2.105353,3.5431178,0.33982325,5.094999,-3.8083506,6.461267,0.038275044,3.260646,7.8881235,2132.5770556472858,1435.9655324581752,23.10747550742898,3511.966765873016,0.036159813,0.21023169,0.22241598462301587,[93.75],0.20567953566181413,drilling
23.844875,53.570156,-81.38887,2.7985609,-23.35651,-13.699126,-17.787851,-10.6274805,-17.722324,-12.846042,-16.46107,-4.8155007,-16.329544,-1.760855,-1.23959,-1.1043772,0.40411192,-0.25196797,3.6738193,-0.13771224,-1.8105421,0.86218476,-3.0811625,3.3399348,2.1081817,6.9806542,-3.4330096,9.361318,0.04271674,2.805231,7.0496206,2141.8220242586453,1448.4809612650192,23.00336432299029,3503.844246031746,0.038170807,0.19889012,0.22337704613095238,[144.23076923],0.20390418511426295,drilling
23.18648,47.270123,-84.11649,7.863886,-16.25113,-8.571461,-12.852329,-3.3067482,-11.4017725,-9.699495,-12.281049,-0.15009883,-11.709117,0.8286647,-0.21412782,3.5800226,5.074652,2.4234807,5.4011984,0.8315228,-0.34468105,0.84319097,-2.5468748,1.9669013,1.4181569,8.380407,-1.7744056,9.26481,-0.26176023,2.265346,7.118043,2191.005409087808,1424.4050906215593,22.760256552779285,3516.7410714285716,0.037827864,0.20651126,0.23455326140873015,[93.75],0.22013285252967413,drilling
-18.629568,20.74023,-106.503555,16.930216,-7.231042,1.5715058,-5.122221,2.4907267,-15.21043,-6.5938354,-8.710314,3.5237718,-10.565718,1.7755866,-6.2228417,2.1172168,2.661292,2.963128,3.2250273,0.6843904,7.085355,-0.8085094,-3.9296348,0.5258021,-3.718972,0.92317927,-7.297366,1.002765,-0.7416462,-1.5600207,5.8924747,2341.3460034977024,1257.5431080343833,22.397512117632086,3452.3189484126983,0.025041338,0.20319878,0.26651243179563494,[93.75],0.15497809154717213,drilling
3.5532634,12.3210535,-103.72871,14.100591,-10.543472,2.517008,-1.0472519,4.804818,-12.433539,-4.096197,-4.592632,8.009941,-7.358209,3.2403214,-2.755247,6.468242,3.1121376,2.4428666,9.570725,2.946664,2.9196253,1.0302149,-2.976583,-0.23986626,-5.5080013,-0.24366933,-7.197193,2.8133433,0.53753054,-0.031053467,6.6795015,2426.486763231486,1330.0527329496717,23.085732378277605,3642.6711309523807,0.03377691,0.21699908,0.26570250496031744,[66.96428571],0.1712556039681089,drilling
9.285009,18.862926,-98.46318,19.449644,-6.996573,4.3050265,-0.46208972,6.5957694,-6.936688,-2.161266,-4.811415,6.095083,-6.4395075,4.5811844,0.18983252,7.757897,6.155336,1.6695566,5.69865,1.8046112,2.1047268,1.2110057,-1.0840745,1.3883471,-4.4266887,0.43490788,-7.6389484,2.3374302,-1.5664144,-1.086121,6.75615,2395.5852211326246,1335.7007648686208,22.86429400668852,3620.845734126984,0.03438107,0.21810044,0.26297433035714285,[133.92857143],0.21692249389355958,drilling
-7.7598734,-28.772743,-109.96748,10.264793,-8.973219,4.5947123,4.9905334,10.721234,-1.381455,4.7379684,2.9971159,8.206658,-3.3623667,7.076527,2.5013201,5.010983,1.817037,-0.22265564,-0.2028873,-0.12875621,-0.2612828,1.7329061,-1.0060383,-0.45154655,-3.235896,0.1456969,-3.8285985,4.0769515,-1.1693871,-0.18886966,6.1361647,2688.1844331653433,1400.5773353147245,21.05241002389671,4004.9603174603176,0.04267284,0.22129613,0.2889927455357143,[144.23076923],0.2122898266917085,drilling
