Audio,Label
"[ 1.1196863e-12  5.3118565e-11  1.5009174e-10 ... -1.1612628e-01
  2.8304936e-02  1.3166885e-01]",dog_bark
"[-0.05775265  0.06365907  0.11679927 ... -0.06754866  0.00460125
 -0.04141446]",dog_bark
"[ 0.00861493  0.05772789  0.0005663  ...  0.08600931  0.0364844
 -0.13830791]",dog_bark
"[ 0.06789292  0.19004697  0.26408967 ... -0.00909335  0.00702476
 -0.01620777]",children_playing
"[-0.11305121 -0.18625616 -0.14983125 ... -0.18063247  0.05016245
 -0.08778488]",children_playing
"[ 0.01329866  0.0126352   0.03009888 ...  0.007831   -0.00421131
 -0.01189627]",children_playing
"[-0.0786251  -0.13628834 -0.3125203  ... -0.08333825 -0.21185084
 -0.16256514]",children_playing
"[ 0.02438367 -0.00723333 -0.06644958 ... -0.04085988 -0.04920677
 -0.07585   ]",children_playing
"[-0.15275843 -0.2235684  -0.14109488 ... -0.02070649 -0.05000443
 -0.20161049]",children_playing
"[-0.01643181 -0.03155173  0.02977702 ... -0.1203448  -0.10811105
 -0.05801495]",children_playing
"[ 0.05654816  0.10056254  0.05474924 ... -0.10972653 -0.01653332
 -0.02097129]",children_playing
"[-0.0776056  -0.12950802 -0.10768717 ...  0.08104115  0.10832854
  0.1389209 ]",dog_bark
"[-0.02905598 -0.05441557 -0.04220009 ... -0.01063954 -0.00635789
  0.00042977]",dog_bark
"[-0.02990645 -0.0328497  -0.00131392 ...  0.00529459  0.00854731
  0.00900503]",dog_bark
"[-0.00034022  0.00103902  0.00068427 ...  0.3005032   0.30540246
  0.3227217 ]",engine_idling
"[-0.11942161 -0.19947281 -0.08580295 ... -0.04468486 -0.16884848
 -0.3310795 ]",engine_idling
"[ 0.16719052  0.30243462  0.32993528 ... -0.38415012 -0.19834365
 -0.28939843]",engine_idling
"[-0.10138685 -0.10484578 -0.03465189 ... -0.65291625 -0.01047305
 -0.06991237]",drilling
"[ 0.15180974  0.2618817  -0.05215896 ...  0.37342542 -0.01978077
 -0.25506777]",drilling
"[-0.065513    0.13696603  0.22131655 ...  0.03411721  0.02170216
 -0.06252078]",drilling
"[-0.03134679  0.05731331  0.3783652  ... -0.02337628 -0.02030693
  0.04753587]",drilling
"[ 0.10605998  0.04673721 -0.18577832 ...  0.1619001   0.00530831
 -0.08431265]",drilling
"[-0.03744243 -0.24427557 -0.25042856 ... -0.16539417 -0.2524601
 -0.17309435]",drilling
"[-0.16286466 -0.0119848  -0.06494328 ...  0.2893788   0.17033067
  0.01843592]",drilling
"[-0.02030441 -0.26079634 -0.25835568 ... -0.19373591  0.11233278
 -0.06423458]",drilling
"[ 0.15157464  0.21466601 -0.0594025  ...  0.00355307 -0.04106186
 -0.02341782]",drilling
"[ 0.03040407 -0.24118026  0.19335563 ...  0.2163687   0.08757464
 -0.01482411]",drilling
"[-2.5944635e-10 -1.7726277e-10 -6.1312716e-10 ... -8.5587323e-02
  7.2221361e-02  2.0504144e-01]",street_music
"[-0.00969484 -0.07064835  0.00151595 ... -0.27381885 -0.21807088
 -0.29217365]",street_music
"[ 0.15096322  0.15850239 -0.04640073 ...  0.09865655  0.01577373
  0.04954823]",street_music
"[-0.09235414 -0.13848068 -0.05706529 ... -0.00135578  0.12025014
  0.0291708 ]",street_music
