mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mel_spectrogram,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,spectral_flatness,rms,zero_crossing_rate,tempo,tempogram,Label
-103.08328,9.6266575,-50.624115,-1.3069535,-18.15244,-7.271334,-3.9797196,4.1154847,-5.506768,5.6848173,4.168771,2.4894176,-1.2440859,9.596112,2.098681,3.8442092,-0.5015871,-0.8750851,-0.8384694,-1.8451245,-1.549308,-0.519157,1.0715182,6.6263475,-2.0685859,3.7969325,-3.3816502,0.93819845,-2.277623,2.835871,1.3117329,2876.4515598014395,1812.338814978999,20.35556931824254,5011.6567460317465,0.13013092,0.07360454,0.3029668898809524,[133.92857143],0.11657604722583907,dog_bark
-12.352958,13.742998,-56.921238,-9.951137,-25.998106,-12.688943,-9.892579,-0.28030977,-4.3838706,11.027265,4.9590826,7.712921,1.011238,5.654706,-0.59174895,1.8706242,-2.8828137,-3.2265756,-5.387803,-1.7711527,0.84960526,3.540737,3.2227526,8.298519,-0.12241515,3.317971,-1.5008088,3.5854814,0.22368225,2.7779486,5.173038,2708.7955487209533,1805.7041853158905,20.70576964163146,4809.151785714285,0.11279962,0.15412292,0.26698521205357145,[98.68421053],0.15583421533561884,dog_bark
-65.11863,18.58904,-56.270756,4.6552873,-21.211956,-9.998304,-6.171211,2.728525,-6.358685,7.1498475,2.15077,-0.7459212,-3.2547328,2.5329278,-2.773543,1.6056198,-1.4062237,0.74196833,-1.8157994,1.5655527,0.81908417,1.8598357,-0.61813,4.172713,-1.2652959,3.5099137,-1.0464307,2.9192772,-0.26459244,4.3008523,1.7821304,2698.413605376497,1717.8932666917278,20.04215206133936,4579.179067460317,0.111883014,0.093558535,0.2848307291666667,[104.16666667],0.1865218943593088,dog_bark
-11.347226,69.52479,-8.191846,1.3990238,-10.35843,-3.8457723,-3.1059625,-0.7193206,-7.2793255,0.6080823,-6.5684566,1.7118919,-4.298146,3.1860764,-2.104004,4.682226,-1.4092386,4.4017067,-1.5177734,2.0410209,-0.641562,3.9414117,-2.1297395,2.6607492,-0.8673838,3.5023615,-2.1533427,2.4203393,-0.65590763,3.6130476,3.08473,2285.301052894963,2079.426038121201,19.35140998454819,4945.002480158731,0.11450045,0.11607208,0.17650979662698413,[110.29411765],0.18954093203282238,children_playing
35.94555,82.849754,-9.508505,2.9202094,-10.967358,-2.6161716,-4.903959,0.673591,-5.932626,1.5124934,-4.9535265,1.4139055,-2.862384,3.7432623,-1.7480475,4.7068434,-1.6184506,3.1660542,-1.2962577,2.8804057,-0.7607062,3.6880097,-1.7857147,3.0499556,-1.4397235,4.0409794,-0.60077417,2.4336553,-0.46771652,4.3212247,11.058254,1995.6623317282724,1943.2846916557842,19.419472969044367,4315.290178571428,0.06983029,0.21560468,0.14636036706349206,[144.23076923],0.21516293581518278,children_playing
-64.31973,62.7526,-12.499888,0.3146591,-14.486844,-4.900216,-7.007044,-1.9449995,-7.775534,-0.44142866,-6.760081,-0.06929678,-3.173297,3.0193202,-3.3098993,3.8130977,-2.2376487,2.700931,-2.1415954,1.4381202,-2.376773,2.223378,-2.1397982,3.5200071,-1.5167857,1.9202408,-1.3882128,2.5566063,-1.1079081,3.1512442,1.2827845,2406.1126318753063,2058.420394934782,19.250831687817215,4983.75496031746,0.1328156,0.06900333,0.2015438988095238,[125.],0.19294381668990482,children_playing
-0.48084575,64.6591,-17.154833,-3.7643614,-17.756023,-7.802777,-8.252061,-3.1065333,-11.18482,-2.4257305,-8.479593,-0.69716805,-5.0170197,3.2049105,-2.7940898,1.0733733,-4.232903,1.1660092,-3.1335392,1.7952737,-3.0331457,0.29054943,-3.535712,2.4291484,-3.249748,2.1036263,-1.1476059,1.2278683,-2.9761417,1.5376064,3.6766043,2333.9786373649217,2012.2122985196456,19.416432696633787,4856.398809523809,0.112489745,0.128165,0.19512648809523808,[144.23076923],0.19137260063283082,children_playing
-63.85305,83.12907,-5.6990414,6.820885,-14.9000025,-5.5276017,-6.082725,-1.4025486,-6.928459,-1.0425184,-7.664309,-1.6000242,-5.4583673,-0.22453901,-6.1226144,1.8168056,-1.9483122,1.6779441,-4.3027816,0.673944,-2.419283,1.676309,-3.1577265,2.238413,-1.2122277,3.0656354,-2.054812,1.5210801,-2.321989,2.709303,1.2614346,2018.3121443435266,1951.2242118148577,19.281523999701704,4315.0421626984125,0.07716086,0.07321995,0.14970858134920634,[110.29411765],0.18437607745081916,children_playing
-11.632943,74.68774,-10.633345,2.351632,-14.925407,-8.886423,-9.163646,-3.7045186,-8.109426,-1.4077978,-7.3773875,-1.7316004,-6.7359967,0.086146176,-5.363976,1.6625551,-4.2748957,1.6582317,-3.4340785,0.14256111,-4.157416,0.8746302,-4.123403,1.1948274,-2.8922174,1.4536911,-2.7469184,1.590249,-2.349842,1.7995976,3.571038,2166.258771072924,1993.501768777001,19.22851797525059,4602.864583333333,0.09739822,0.12130929,0.17004200768849206,[208.33333333],0.20155232805190165,children_playing
-14.066198,82.843864,-5.792124,11.612117,-14.673958,-3.5886993,-9.580334,1.1066504,-9.005601,-3.7003217,-3.3552084,-1.5288135,-2.8691857,1.2232218,-7.219547,0.5452778,-2.2799177,5.5196843,-5.159828,-0.9753928,-0.99709505,1.7732774,-4.9230657,1.8048406,-1.5032419,0.24125402,-4.7550583,1.8671988,-2.4065478,0.6367689,4.2641916,2018.1648445159685,1903.3654081591753,20.196450784511878,4270.523313492064,0.060146816,0.1374457,0.16288829985119047,[117.1875],0.1833352007296859,children_playing
